Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI(4),RSI(14),rendement(4),rendement(14),MACD,ATR(14),ATR(4),SMA(20),SMA(50),Ratio[SMA(20)/SMA(50)],Volume_norm(20),decision,ticker
2018-03-14 00:00:00-04:00,42.362024,42.409009,41.772355,41.920361,117473600,0.000000,0.000000,0.482648,0.616707,0.008477,0.034435,0.670161,0.915690,0.714184,41.299789,40.394659,1.022407,140684940.000000,-0.820996,AAPL
2018-03-20 00:00:00-04:00,41.168583,41.535068,41.098104,41.168583,78597600,0.000000,0.000000,0.241297,0.525073,-0.017933,-0.016169,0.445530,0.830792,0.630588,41.564904,40.476892,1.026880,130554140.000000,-0.698444,AAPL
2018-03-26 00:00:00-04:00,39.484166,40.665848,39.101234,40.588322,150164800,0.000000,0.000000,0.535608,0.495181,-0.014095,-0.022075,-0.057276,0.944698,1.131538,41.327510,40.394269,1.023103,133889660.000000,-1.514475,AAPL
2018-04-02 00:00:00-04:00,39.148205,39.688537,38.638414,39.157600,150347200,0.000000,0.000000,0.362867,0.415363,-0.035249,-0.082765,-0.360959,1.039934,1.216177,40.875982,40.208817,1.016593,132811700.000000,0.384051,AAPL
2018-04-06 00:00:00-04:00,40.165447,40.520186,39.514699,39.556988,140021200,0.000000,0.000000,0.415667,0.452949,0.010199,-0.054151,-0.268845,1.047921,1.105455,40.590780,40.102299,1.012181,136642600.000000,1.291297,AAPL
2018-04-12 00:00:00-04:00,40.738668,41.112201,40.651743,40.910164,91557200,0.000000,0.000000,0.681948,0.544385,0.034209,0.031330,-0.065536,0.977077,0.845112,40.235689,40.173159,1.001557,132101200.000000,0.889621,AAPL
2018-04-18 00:00:00-04:00,41.772345,42.009623,41.553864,41.779392,83018000,0.000000,0.000000,0.783529,0.597928,0.021247,0.068236,0.242531,0.855453,0.616307,40.228876,40.441344,0.994746,127864780.000000,-4.091869,AAPL
2018-04-24 00:00:00-04:00,38.920341,39.075394,37.874917,38.278992,134768000,0.000000,0.000000,0.133591,0.364541,-0.083783,-0.050522,-0.262487,0.942076,0.991607,40.098139,40.603490,0.987554,130543120.000000,0.578524,AAPL
2018-04-30 00:00:00-04:00,38.088687,39.293859,38.020556,38.824005,169709600,0.000000,0.000000,0.481032,0.427185,0.014239,-0.046119,-0.517791,0.923592,0.947603,39.935685,40.547295,0.984916,125713500.000000,4.723522,AAPL
2018-05-04 00:00:00-04:00,41.875719,43.285280,41.856924,43.186611,224805200,0.000000,0.000000,0.912530,0.671452,0.112368,0.045558,0.192281,1.035936,1.250273,40.231811,40.634406,0.990092,142424760.000000,1.408273,AAPL
2018-05-10 00:00:00-04:00,44.105164,44.723019,44.084018,44.645493,111957200,0.000000,0.000000,0.955254,0.725326,0.033781,0.146753,0.951532,0.943149,0.847791,40.921671,40.811211,1.002707,146286260.000000,-0.282554,AAPL
2018-05-16 00:00:00-04:00,43.881398,44.445038,43.864888,44.379002,76732400,0.000000,0.000000,0.702495,0.679995,-0.005969,0.150321,1.160649,0.849804,0.668453,41.481119,41.044058,1.010649,145447600.000000,-0.283048,AAPL
2018-05-22 00:00:00-04:00,44.426182,44.544099,44.048848,44.138466,60962800,0.000000,0.000000,0.554515,0.642034,-0.005420,0.064064,1.053625,0.772271,0.585346,42.471038,41.219335,1.030367,125192760.000000,0.225966,AAPL
2018-05-29 00:00:00-04:00,44.242226,44.513432,44.070066,44.312973,90056400,0.000000,0.000000,0.530308,0.638935,0.003954,0.013838,0.936937,0.712265,0.539859,43.650885,41.411100,1.054087,114960600.000000,1.301244,AAPL
2018-06-04 00:00:00-04:00,45.194995,45.614777,45.126605,45.239803,105064800,0.000000,0.000000,0.826127,0.692741,0.020915,0.019559,0.848599,0.682950,0.607859,44.273053,41.733875,1.060842,92061340.000000,-0.044897,AAPL
2018-06-08 00:00:00-04:00,45.084150,45.279891,44.753985,45.209141,106627200,0.000000,0.000000,0.500704,0.641949,-0.000678,0.028930,0.881111,0.658835,0.616250,44.588075,42.217348,1.056155,85751120.000000,-0.322171,AAPL
2018-06-14 00:00:00-04:00,45.173758,45.178476,44.860100,44.996883,86440400,0.000000,0.000000,0.404930,0.595332,-0.004695,0.014084,0.684965,0.595673,0.474669,44.749030,42.656661,1.049051,83470880.000000,-1.702418,AAPL
2018-06-20 00:00:00-04:00,43.947426,44.147882,43.801207,43.982800,82514800,0.000000,0.000000,0.248603,0.468156,-0.022536,-0.001980,0.309563,0.614644,0.603306,44.768840,42.977012,1.041693,96506500.000000,-0.794227,AAPL
